2, 1, 4, 30.0, 08-02-2026 16:53:34
6, 3, 4, 40.0, 08-02-2026 19:59:30
7, 4, 4, 80.0, 08-02-2026 20:22:12
8, 5, 4, 50.0, 08-02-2026 21:06:04
9, 6, 9, 170.0, 08-02-2026 21:10:31
10, 4, 11, 57.0, 10-02-2026 12:11:11
11, 6, 4, 20.0, 10-02-2026 12:13:00
14, 6, 4, 30.0, 11-02-2026 13:08:06
16, 1, 4, 40.0, 11-02-2026 13:41:53
17, 15, 4, 75.0, 11-02-2026 13:42:37
18, 4, 7, 95.0, 11-02-2026 15:34:50
19, 16, 4, 56.0, 11-02-2026 15:37:53
20, 18, 4, 80.0, 11-02-2026 15:42:58
21, 16, 4, 90.0, 11-02-2026 16:24:43
